Model,Extracted Correct Answers
llama-3.1-405b-instruct.json,"A, B, A, B, C, B, D, , B, B, B, B, B, C, A, B, B, B, C, B, B, B, B, B, B, C, B, B, B, B, C, B, B, B, B, C, D, C, A, B, A, B, A, B, B, C, B, C, B, B, D, B, A, C, A, , C, C, , B, B, B, C, B, D, C, C, A, B, A, B, D, C, A, B, B, B, B, A, C, B, B, , B, B, A, B, C, B, B, B, B, C, B, A, , A, B, A, A, B, A, B, B, C, B, C, B, C, B, B, B, A, A, C, B, B, A, A, , B, B, C, , C, B, B, C, B, C, C, B, , B, C, B, B, C, B, C, A, B, C, B, B, A, B, B, C, B, A, C, C, C, B, A, B, A, B, B, C, B, B, B, B, B, C, B, B, B, B, B, B, B, A, A, B, C, C, , A, B, B, A, B, B, A, B, A, B, C, , B, C, B, , A, B, B, C, B, B, B, B, A, B, B, A, B, B, A, B, B, B, B, B, A, C, A, B, A, B, C, A, B, B, B, B, A, A, A, , B, A, B, A, B, B, C, , B, B, A, , C, A, B, A, B, B, , B, , A, B, B, C, C, B, C, B, B, B, B, C, B, C, B, A, B, B, B, A, A, A, B, C, B, C, B"
llama-3.1-70b-instruct.json,"A, B, B, B, C, B, D, B, B, B, A, B, B, C, A, B, B, B, D, B, B, A, B, B, B, C, A, B, B, B, C, B, C, B, B, C, C, C, A, B, A, B, A, B, B, C, B, C, A, B, C, B, A, B, A, A, B, C, D, B, B, B, C, B, D, C, C, A, B, A, B, B, C, A, B, B, B, B, A, C, B, B, A, B, A, A, D, C, B, B, B, B, C, B, A, A, A, A, A, A, C, D, B, B, C, B, C, B, A, A, B, A, A, A, B, B, B, A, A, A, A, C, A, D, C, B, B, C, B, C, D, B, A, A, C, B, D, C, B, C, C, B, C, B, B, A, B, B, C, B, A, C, C, C, B, D, B, B, B, B, B, B, B, B, B, B, C, B, B, B, B, B, B, B, A, A, B, C, C, A, D, B, B, A, A, B, A, B, B, B, C, A, B, C, B, B, A, B, B, C, B, B, B, B, A, B, B, B, B, B, A, B, C, B, A, B, A, C, A, B, B, B, C, A, D, B, B, B, A, B, A, C, B, A, B, A, B, B, C, B, B, C, A, A, C, A, B, B, B, B, C, B, A, A, B, B, C, C, C, C, B, B, B, B, A, B, C, B, C, B, B, B, D, A, A, B, C, B, C, B"
llama-3.1-8b-instruct.json,"A, B, A, B, A, B, C, A, D, B, A, D, B, C, A, B, B, B, A, B, A, B, C, B, B, C, B, A, B, B, C, B, C, B, A, C, C, C, A, B, A, C, B, A, B, D, B, C, B, B, D, B, A, C, A, B, A, C, B, B, B, B, B, B, D, C, C, A, B, A, B, A, C, A, B, C, B, B, A, C, B, B, B, C, B, A, D, C, C, B, B, B, C, B, A, A, A, A, A, A, C, D, B, B, C, B, B, B, A, A, B, B, A, , B, B, B, B, A, A, A, B, C, A, C, B, B, C, B, A, A, B, A, B, C, B, B, , B, A, B, B, C, B, A, A, B, B, A, D, A, C, C, C, B, D, B, A, B, B, C, B, , C, B, D, C, B, B, B, B, B, B, B, A, A, B, C, C, A, C, B, B, C, A, B, A, B, C, B, C, A, B, D, B, C, A, B, B, C, B, B, B, B, A, B, B, A, D, B, A, B, C, B, A, B, A, A, A, B, A, B, B, A, B, B, B, B, A, A, A, A, B, B, B, A, B, B, C, A, B, C, A, A, C, A, B, B, B, B, C, B, A, A, B, B, A, C, C, C, B, B, B, B, C, B, C, B, A, B, B, A, A, A, B, B, B, B, C, B"
mamba-codestral-7b-v0.1.json,"A, B, A, B, A, B, A, A, C, B, A, B, B, A, A, B, B, B, A, B, A, A, B, B, B, C, A, A, B, B, B, B, B, B, A, C, D, C, A, B, A, B, A, A, B, A, A, C, A, A, D, A, A, C, A, B, C, B, A, B, B, B, B, B, D, A, C, A, B, A, B, A, C, A, B, A, A, B, A, C, B, B, A, C, B, A, B, C, A, D, B, B, C, B, A, A, A, B, A, A, B, A, B, B, C, B, B, B, C, A, B, A, A, A, B, A, B, A, A, C, A, B, A, A, A, B, B, C, B, C, C, B, A, A, C, B, B, C, B, C, A, B, C, B, A, A, C, B, A, B, A, D, C, C, B, A, B, A, B, B, B, B, B, B, B, B, C, B, B, B, B, B, B, , A, A, B, , A, A, A, B, B, A, A, B, A, B, A, B, C, A, B, C, C, A, A, B, B, C, B, B, B, B, A, B, B, B, B, B, A, B, B, , A, B, A, A, A, , A, B, B, A, B, B, B, B, A, A, A, A, B, A, B, A, B, B, C, A, B, C, A, A, C, A, B, A, B, B, C, B, B, A, B, B, C, C, C, C, B, B, B, B, C, B, A, B, A, B, B, A, A, A, A, B, B, B, C, B"
mistral-large-latest.json,"B, B, , B, A, B, D, B, B, B, A, A, B, A, A, B, B, B, D, B, B, B, B, B, B, C, , A, B, B, C, B, B, B, , C, D, C, A, B, B, C, B, B, B, A, B, C, B, B, C, B, A, C, A, A, A, C, , B, B, B, C, B, D, B, C, , B, A, B, A, C, A, , B, B, B, B, C, , B, A, C, B, A, D, C, B, B, B, B, C, , A, A, A, B, A, A, B, A, B, B, C, B, C, B, A, A, B, A, A, B, B, B, B, B, A, A, B, , C, D, , B, B, C, B, C, D, B, A, A, D, B, A, C, B, C, , B, C, B, , A, D, B, A, D, C, D, C, C, B, A, B, A, B, B, A, , B, B, B, D, C, B, B, B, B, B, B, B, B, A, B, C, D, A, B, B, B, A, B, B, A, B, , B, C, A, B, C, B, C, A, B, A, C, B, B, B, B, B, B, B, A, B, B, A, B, A, B, A, B, , A, A, B, , B, C, , , B, B, B, A, , A, A, B, , B, A, B, B, D, A, B, B, A, A, C, A, B, C, B, B, B, B, B, A, B, B, C, C, B, C, B, B, B, B, A, B, C, B, C, , B, B, , , , B, B, B, A, B"
mistral-nemo-12b-instruct.json,"A, B, A, B, C, B, D, A, D, B, A, C, B, C, A, B, B, B, D, B, B, C, B, B, B, C, A, A, B, B, C, B, A, B, C, C, D, C, A, B, A, B, D, A, B, C, A, C, B, B, B, B, A, C, A, A, C, D, B, B, C, B, B, B, D, C, C, A, B, D, B, A, C, A, B, C, C, B, A, C, B, B, B, C, B, A, B, C, B, B, B, B, C, B, A, A, A, A, A, A, C, A, B, B, C, B, B, B, C, B, B, B, A, B, B, B, B, A, A, C, A, C, C, D, C, B, B, C, B, B, D, B, D, A, C, B, B, C, B, C, D, B, C, B, B, A, D, B, C, D, A, D, C, C, B, C, B, A, B, B, B, B, B, B, B, B, C, B, B, B, B, B, B, B, A, A, B, C, C, A, D, B, B, C, A, B, A, B, B, B, A, A, B, C, B, B, A, B, B, C, B, B, B, B, D, A, B, D, B, B, A, B, A, B, A, B, A, C, A, B, A, B, B, A, B, B, B, B, A, B, A, D, B, D, A, A, B, B, D, A, B, B, A, A, C, A, C, B, B, B, C, B, A, A, B, B, C, C, C, C, B, B, B, B, A, B, C, B, C, A, B, B, B, C, A, B, B, B, C, B"
mixtral-8x22b-instruct-v0.1.json,"A, B, D, B, C, B, B, A, B, B, , B, B, B, A, B, B, B, C, B, A, A, B, B, B, C, , A, B, B, C, B, C, B, A, C, , B, A, B, A, B, A, A, B, , B, C, B, , B, A, A, , A, A, A, C, A, B, A, B, C, B, C, B, C, A, B, , B, A, C, A, B, , B, B, A, C, B, B, A, B, B, A, C, C, C, B, B, B, C, , A, A, A, A, A, A, C, C, B, B, A, B, C, B, A, A, B, A, A, B, C, A, B, A, A, A, A, C, B, A, C, B, B, C, B, A, D, B, A, A, C, B, D, C, B, B, B, B, C, B, B, A, , B, A, D, A, D, C, C, B, B, B, A, B, B, A, , B, B, B, D, C, B, B, B, B, B, B, B, A, A, B, C, C, A, B, B, B, A, A, B, A, B, A, B, C, A, B, C, B, , A, B, B, C, B, B, B, B, , , B, A, B, B, A, B, C, B, A, B, A, A, A, B, A, B, C, A, , B, A, B, A, B, C, A, B, , A, A, B, B, C, , B, C, A, A, C, A, B, B, B, B, C, B, A, A, B, B, C, C, B, C, B, B, B, B, A, B, C, B, C, , B, , A, A, A, B, C, B, A, B"
mixtral-8x7b-instruct-v0.1.json,"A, B, B, B, C, B, D, B, D, B, C, C, B, , A, B, B, B, B, B, B, C, B, B, D, C, , B, B, B, A, B, C, B, B, C, C, B, A, , A, C, A, A, B, B, C, C, B, B, C, B, A, C, A, B, C, C, , B, C, B, C, B, D, C, C, A, B, A, B, , C, A, B, C, B, , A, C, B, B, A, C, B, A, C, C, C, C, B, B, C, B, A, A, A, B, A, , C, C, B, B, C, B, C, B, C, B, B, A, A, D, C, B, B, A, A, D, B, C, C, D, C, B, B, C, B, C, D, B, A, B, , B, D, C, B, C, B, B, C, C, B, A, D, B, C, B, C, A, C, C, B, C, B, A, B, B, C, , B, D, B, D, C, B, B, B, B, B, D, B, A, A, B, C, C, A, D, B, B, D, B, B, A, B, C, B, , A, B, C, B, C, C, B, D, C, B, B, B, B, , , B, , B, B, A, B, A, B, B, B, C, , A, B, B, B, C, A, B, B, A, B, A, B, A, C, B, C, A, D, B, B, C, B, B, B, A, D, C, C, B, B, B, B, B, B, B, A, B, B, C, , C, C, B, B, B, B, C, B, C, B, C, B, B, A, A, A, A, B, C, B, A, B"
nemotron-4-340b-instruct.json,"A, B, A, B, A, B, B, A, B, B, A, B, B, B, A, B, B, B, B, B, A, C, B, B, B, C, B, A, B, B, C, B, C, B, A, C, D, C, A, B, A, B, A, B, B, C, B, C, B, B, B, B, B, B, A, A, A, C, D, B, B, B, C, B, D, D, C, A, B, A, B, A, C, A, B, C, B, B, A, C, B, B, A, C, B, A, B, C, B, D, B, B, C, B, A, A, A, D, A, A, C, C, B, B, A, B, C, B, C, B, B, B, A, A, C, B, B, B, A, A, B, B, C, A, C, B, B, C, B, A, D, B, A, C, C, B, B, C, B, C, B, B, C, B, B, A, B, B, A, B, A, D, C, C, B, B, B, B, B, B, C, B, B, B, B, B, C, B, B, B, B, B, B, B, B, A, B, C, C, A, B, B, B, A, A, B, A, B, B, B, C, A, B, C, B, B, A, B, B, C, B, B, B, B, A, B, B, A, B, B, A, B, B, B, A, B, A, C, A, B, B, B, C, A, B, B, A, B, A, A, A, A, B, A, B, A, B, B, C, A, B, C, A, A, C, A, B, B, B, B, C, B, A, A, B, B, C, C, B, C, B, B, B, B, A, B, C, B, C, B, B, A, D, A, A, B, C, B, C, B"
phi-3-medium-128k-instruct.json,"A, B, A, B, A, B, B, A, D, B, A, D, B, A, A, B, B, , B, B, A, B, B, B, B, C, A, A, B, B, B, B, C, B, A, C, C, A, A, B, A, B, A, B, B, C, B, B, A, B, C, B, A, C, A, B, A, C, A, B, A, B, A, B, A, D, C, A, B, A, B, A, C, A, B, B, B, B, A, C, B, B, A, C, B, A, B, C, B, A, B, , C, B, A, A, , A, A, A, C, A, B, B, A, B, C, , C, A, B, B, A, A, C, C, B, A, A, A, B, B, C, A, C, B, B, C, B, A, C, B, A, B, C, B, D, C, B, A, A, B, C, C, A, A, B, B, A, B, A, B, C, C, B, A, B, A, B, B, C, B, , B, B, , C, B, B, B, B, B, C, B, A, A, B, C, A, A, D, B, B, , D, B, A, B, B, B, C, A, B, C, B, , C, B, B, C, B, , B, B, A, , B, A, B, , A, B, B, B, A, B, A, C, A, B, B, B, B, A, , B, B, B, A, A, A, A, B, A, B, , B, B, C, A, B, D, A, A, C, A, , B, B, B, C, B, A, A, B, B, C, B, C, C, B, B, B, B, C, B, C, B, C, A, B, A, D, A, A, B, C, , C, B"
phi-3-mini-128k-instruct.json,"A, B, D, B, A, B, C, A, B, B, A, D, B, A, A, B, B, B, A, B, A, B, C, B, B, C, A, A, B, B, B, B, B, B, A, C, D, A, A, B, A, A, A, D, B, C, A, C, A, A, C, A, A, C, A, A, , C, A, B, B, B, C, B, , C, C, D, B, A, B, C, C, A, B, D, B, B, A, C, B, B, A, C, B, A, B, C, B, A, B, B, C, A, A, A, A, D, A, A, C, A, B, B, C, B, B, B, A, B, B, B, A, , B, B, B, A, A, C, A, C, C, A, A, B, B, C, B, C, C, B, A, A, C, B, D, C, B, A, A, B, C, C, A, A, B, B, A, D, A, D, C, C, B, D, B, A, B, B, C, B, B, C, B, D, C, B, B, B, B, B, C, B, A, A, B, C, C, B, C, B, B, A, A, B, A, B, C, B, C, A, B, D, B, C, A, B, , C, B, B, B, B, A, A, B, A, B, B, A, B, A, B, A, B, D, A, B, B, A, B, B, A, , B, C, B, A, A, A, A, B, A, B, A, B, B, C, A, B, C, A, D, C, A, C, C, B, B, C, B, A, A, B, B, C, C, C, C, B, B, B, B, A, B, C, B, A, B, B, A, A, A, A, B, B, B, C, B"
